,EW (a priori) | IS 1999-2012 | GROSS,EW (a priori) | IS 1999-2012 | NET,EW (a priori) | OOS 2013-2026 | GROSS,EW (a priori) | OOS 2013-2026 | NET,EW (a priori) | FULL 1999-2026 | GROSS,EW (a priori) | FULL 1999-2026 | NET,IC-weighted (IS-fitted) | IS 1999-2012 | GROSS,IC-weighted (IS-fitted) | IS 1999-2012 | NET,IC-weighted (IS-fitted) | OOS 2013-2026 | GROSS,IC-weighted (IS-fitted) | OOS 2013-2026 | NET,IC-weighted (IS-fitted) | FULL 1999-2026 | GROSS,IC-weighted (IS-fitted) | FULL 1999-2026 | NET,SPY | IS 1999-2012,SPY | OOS 2013-2026,SPY | FULL 1999-2026
CAGR,0.07035475412857473,0.06041597615421779,0.10896797318971041,0.09645988316883725,0.09159860120225982,0.08035510119298594,0.0785145335763553,0.06347770946226827,0.1218162167374568,0.1035479619039017,0.10229562022998784,0.08558139282215094,0.028425687943928635,0.14987517332585476,0.08632430632955335
Ann. volatility,0.17636611171496844,0.17631992726552523,0.1603727852394985,0.1604258407562732,0.16878571319605382,0.1687803448922319,0.2836387544919435,0.2836230673239417,0.21919382141023197,0.2192319952101511,0.25412549143934,0.25412731015588697,0.21338084349561814,0.1684528291835023,0.1926633358873888
Sharpe,0.34315924878491133,0.2902890455844182,0.6161925562215154,0.5453200735464958,0.4834100284530366,0.4220680081592336,0.3266869969988782,0.2771860301817171,0.5542451839674094,0.47927629733053734,0.4301818662647894,0.3700479926154783,0.12995054584426013,0.8096227776812333,0.42062535962571923
Sortino,0.48203219466379116,0.40666970950874304,0.857124007072174,0.7563965532460496,0.6763652426131505,0.5888932077666446,0.4733213473952489,0.40065903378463474,0.7902346137463305,0.6811783288254338,0.6197081397918615,0.5316535869766127,0.1840740141498426,1.138629370184662,0.5942559336268487
Max drawdown,-0.5441670578913209,-0.552443266547618,-0.36473547553696484,-0.36536900917308823,-0.5441670578913209,-0.552443266547618,-0.7497002044141693,-0.7563439024270401,-0.45532452726369865,-0.4560533426421919,-0.7497002044141693,-0.7563439024270401,-0.5518942394174391,-0.3371725284698912,-0.5518942394174391
Calmar,0.12928888860197363,0.10936141285923379,0.298758910219214,0.26400674591188655,0.16832808946063318,0.1454540331266029,0.10472790738760451,0.08392704596225865,0.26753712889028625,0.2270523033643081,0.13644870259829217,0.11315142826897644,0.05150567973663547,0.44450588547648623,0.15641458120794008
Win rate (daily),0.538703227649243,0.5371216447744146,0.5540059347181009,0.5517650548798576,0.5466415203829973,0.5448215839860748,0.5304198800342759,0.5279840091376357,0.5448071216617211,0.5410857312370216,0.5380821122878282,0.5351029881055991,0.5360501567398119,0.5548329884717706,0.545269878119559
Win rate (monthly),0.6467065868263473,0.6347305389221557,0.6335403726708074,0.6273291925465838,0.6413373860182371,0.6322188449848024,0.5868263473053892,0.5808383233532934,0.6211180124223602,0.6149068322981367,0.6048632218844985,0.5987841945288754,0.5714285714285714,0.6975308641975309,0.6333333333333333
Skew,-0.018607046833179527,-0.021349729034477842,-0.5137655312712387,-0.5133695632134989,-0.22994743866289183,-0.23159143132660717,0.3943894480927429,0.3932021142655111,-0.019622657380501046,-0.019732070020492726,0.26958482998907574,0.2688633089546021,0.2288481408016966,-0.32417888838850445,0.04033531992648314
Excess kurtosis,9.943657979155368,9.975672319060555,16.400814863377764,16.37020137123766,12.61155362391292,12.622704385942198,12.702333608396176,12.735873989545247,14.715780321708419,14.728043683130828,14.21509606297801,14.245276719219252,9.62950307890303,14.58255646165474,11.700093353266148
