date,index_members,priced_members,missing,coverage
1999-01-29,491,221,270,0.45010183299389
1999-02-26,491,221,270,0.45010183299389
1999-03-31,491,222,269,0.45213849287169044
1999-04-30,490,222,268,0.4530612244897959
1999-05-28,490,224,266,0.45714285714285713
1999-06-30,491,227,264,0.4623217922606925
1999-07-30,491,229,262,0.4663951120162933
1999-08-31,491,229,262,0.4663951120162933
1999-09-30,491,229,262,0.4663951120162933
1999-10-29,491,231,260,0.47046843177189407
1999-11-30,490,232,258,0.47346938775510206
1999-12-31,492,232,260,0.4715447154471545
2000-01-31,492,233,259,0.4735772357723577
2000-02-29,492,233,259,0.4735772357723577
2000-03-31,492,232,260,0.4715447154471545
2000-04-28,492,232,260,0.4715447154471545
2000-05-31,493,232,261,0.47058823529411764
2000-06-30,492,233,259,0.4735772357723577
2000-07-31,492,234,258,0.47560975609756095
2000-08-31,492,235,257,0.47764227642276424
2000-09-29,492,235,257,0.47764227642276424
2000-10-31,492,237,255,0.4817073170731707
2000-11-30,492,241,251,0.4898373983739837
2000-12-29,492,242,250,0.491869918699187
2001-01-31,494,243,251,0.49190283400809715
2001-02-28,495,243,252,0.4909090909090909
2001-03-30,495,244,251,0.49292929292929294
2001-04-30,495,246,249,0.49696969696969695
2001-05-31,495,246,249,0.49696969696969695
2001-06-29,495,248,247,0.501010101010101
2001-07-31,495,248,247,0.501010101010101
2001-08-31,495,247,248,0.498989898989899
2001-09-28,496,247,249,0.49798387096774194
2001-10-31,496,247,249,0.49798387096774194
2001-11-30,496,248,248,0.5
2001-12-31,496,250,246,0.5040322580645161
2002-01-31,495,250,245,0.5050505050505051
2002-02-28,495,250,245,0.5050505050505051
2002-03-28,495,250,245,0.5050505050505051
2002-04-30,495,250,245,0.5050505050505051
2002-05-31,495,252,243,0.509090909090909
2002-06-28,495,253,242,0.5111111111111111
2002-07-31,495,258,237,0.5212121212121212
2002-08-30,494,258,236,0.5222672064777328
2002-09-30,494,258,236,0.5222672064777328
2002-10-31,494,259,235,0.5242914979757085
2002-11-29,494,259,235,0.5242914979757085
2002-12-31,494,261,233,0.52834008097166
2003-01-31,494,261,233,0.52834008097166
2003-02-28,494,262,232,0.5303643724696356
2003-03-31,494,263,231,0.5323886639676113
2003-04-30,494,263,231,0.5323886639676113
2003-05-30,494,264,230,0.5344129554655871
2003-06-30,494,264,230,0.5344129554655871
2003-07-31,494,265,229,0.5364372469635628
2003-08-29,494,265,229,0.5364372469635628
2003-09-30,494,265,229,0.5364372469635628
2003-10-31,494,265,229,0.5364372469635628
2003-11-28,494,266,228,0.5384615384615384
2003-12-31,494,266,228,0.5384615384615384
2004-01-30,494,266,228,0.5384615384615384
2004-02-27,494,267,227,0.5404858299595142
2004-03-31,494,267,227,0.5404858299595142
2004-04-30,495,268,227,0.5414141414141415
2004-05-28,495,268,227,0.5414141414141415
2004-06-30,495,268,227,0.5414141414141415
2004-07-30,495,269,226,0.5434343434343434
2004-08-31,495,269,226,0.5434343434343434
2004-09-30,495,270,225,0.5454545454545454
2004-10-29,495,270,225,0.5454545454545454
2004-11-30,495,271,224,0.5474747474747474
2004-12-31,495,269,226,0.5434343434343434
2005-01-31,495,269,226,0.5434343434343434
2005-02-28,495,269,226,0.5434343434343434
2005-03-31,496,270,226,0.5443548387096774
2005-04-29,496,270,226,0.5443548387096774
2005-05-31,496,270,226,0.5443548387096774
2005-06-30,496,270,226,0.5443548387096774
2005-07-29,496,272,224,0.5483870967741935
2005-08-31,496,276,220,0.5564516129032258
2005-09-30,496,276,220,0.5564516129032258
2005-10-31,496,277,219,0.5584677419354839
2005-11-30,497,278,219,0.5593561368209256
2005-12-30,497,280,217,0.5633802816901409
2006-01-31,497,281,216,0.5653923541247485
2006-02-28,497,282,215,0.5674044265593562
2006-03-31,497,282,215,0.5674044265593562
2006-04-28,497,285,212,0.5734406438631791
2006-05-31,497,285,212,0.5734406438631791
2006-06-30,497,286,211,0.5754527162977867
2006-07-31,497,286,211,0.5754527162977867
2006-08-31,497,285,212,0.5734406438631791
2006-09-29,497,286,211,0.5754527162977867
2006-10-31,497,286,211,0.5754527162977867
2006-11-30,497,288,209,0.579476861167002
2006-12-29,497,289,208,0.5814889336016097
2007-01-31,497,289,208,0.5814889336016097
2007-02-28,497,290,207,0.5835010060362174
2007-03-30,497,293,204,0.5895372233400402
2007-04-30,497,295,202,0.5935613682092555
2007-05-31,497,295,202,0.5935613682092555
2007-06-29,497,295,202,0.5935613682092555
2007-07-31,497,295,202,0.5935613682092555
2007-08-31,497,296,201,0.5955734406438632
2007-09-28,497,299,198,0.6016096579476862
2007-10-31,497,302,195,0.607645875251509
2007-11-30,497,304,193,0.6116700201207244
2007-12-31,497,308,189,0.6197183098591549
2008-01-31,497,308,189,0.6197183098591549
2008-02-29,497,308,189,0.6197183098591549
2008-03-31,497,308,189,0.6197183098591549
2008-04-30,497,308,189,0.6197183098591549
2008-05-30,497,308,189,0.6197183098591549
2008-06-30,497,308,189,0.6197183098591549
2008-07-31,498,308,190,0.6184738955823293
2008-08-29,498,310,188,0.6224899598393574
2008-09-30,497,311,186,0.6257545271629779
2008-10-31,498,312,186,0.6265060240963856
2008-11-28,498,312,186,0.6265060240963856
2008-12-31,498,313,185,0.6285140562248996
2009-01-30,498,317,181,0.6365461847389559
2009-02-27,498,317,181,0.6365461847389559
2009-03-31,499,322,177,0.6452905811623246
2009-04-30,499,322,177,0.6452905811623246
2009-05-29,499,324,175,0.6492985971943888
2009-06-30,499,325,174,0.6513026052104208
2009-07-31,499,327,172,0.655310621242485
2009-08-31,499,328,171,0.657314629258517
2009-09-30,499,327,172,0.655310621242485
2009-10-30,499,328,171,0.657314629258517
2009-11-30,499,329,170,0.6593186372745491
2009-12-31,499,330,169,0.6613226452905812
2010-01-29,499,331,168,0.6633266533066132
2010-02-26,498,332,166,0.6666666666666666
2010-03-31,499,334,165,0.6693386773547094
2010-04-30,499,334,165,0.6693386773547094
2010-05-28,499,334,165,0.6693386773547094
2010-06-30,499,335,164,0.6713426853707415
2010-07-30,498,335,163,0.6726907630522089
2010-08-31,497,335,162,0.6740442655935613
2010-09-30,497,335,162,0.6740442655935613
2010-10-29,497,335,162,0.6740442655935613
2010-11-30,497,335,162,0.6740442655935613
2010-12-31,497,335,162,0.6740442655935613
2011-01-31,497,335,162,0.6740442655935613
2011-02-28,497,335,162,0.6740442655935613
2011-03-31,497,335,162,0.6740442655935613
2011-04-29,497,337,160,0.6780684104627767
2011-05-31,497,337,160,0.6780684104627767
2011-06-30,497,337,160,0.6780684104627767
2011-07-29,497,338,159,0.6800804828973843
2011-08-31,497,338,159,0.6800804828973843
2011-09-30,497,339,158,0.682092555331992
2011-10-31,497,340,157,0.6841046277665996
2011-11-30,497,339,158,0.682092555331992
2011-12-30,497,342,155,0.6881287726358148
2012-01-31,497,341,156,0.6861167002012073
2012-02-29,497,341,156,0.6861167002012073
2012-03-30,497,342,155,0.6881287726358148
2012-04-30,497,343,154,0.6901408450704225
2012-05-31,497,342,155,0.6881287726358148
2012-06-29,497,345,152,0.6941649899396378
2012-07-31,497,346,151,0.6961770623742455
2012-08-31,497,346,151,0.6961770623742455
2012-09-28,497,347,150,0.6981891348088531
2012-10-31,497,349,148,0.7022132796780685
2012-11-30,497,349,148,0.7022132796780685
2012-12-31,497,353,144,0.710261569416499
2013-01-31,497,353,144,0.710261569416499
2013-02-28,497,354,143,0.7122736418511066
2013-03-28,497,354,143,0.7122736418511066
2013-04-30,497,355,142,0.7142857142857143
2013-05-31,497,356,141,0.716297786720322
2013-06-28,497,356,141,0.716297786720322
2013-07-31,497,356,141,0.716297786720322
2013-08-30,497,357,140,0.7183098591549296
2013-09-30,497,358,139,0.7203219315895373
2013-10-31,497,359,138,0.7223340040241448
2013-11-29,497,359,138,0.7223340040241448
2013-12-31,497,358,139,0.7203219315895373
2014-01-31,497,360,137,0.7243460764587525
