train,test,test_CAGR,test_Sharpe,test_MaxDD,all_IC_IR_negative,w_momentum,w_residual_momentum,w_low_volatility,w_low_beta,w_reversal,bmk_CAGR,excess
1999-01-01..2004-12-31,2005-01-01..2006-12-31,0.13744837208016336,0.6745979632460106,-0.13103493532175559,False,0.1390276859662717,0.2712584926394567,0.0,0.01983166273129594,0.5698821586629756,0.10220448058996556,0.0352438914901978
2001-01-01..2006-12-31,2007-01-01..2008-12-31,-0.3345124778300319,-0.9184388051615994,-0.7028364915694834,False,0.10504003807836636,0.2293572617082528,0.0,0.16632683796167047,0.49927586225171044,-0.18478431714641752,-0.1497281606836144
2003-01-01..2008-12-31,2009-01-01..2010-12-31,0.2701362936124352,1.1992045780078868,-0.23950441023667635,False,0.2238281877402757,0.0,0.0,0.2861191068894356,0.49005270537028855,0.20571753280373528,0.0644187608086999
2005-01-01..2010-12-31,2011-01-01..2012-12-31,0.052150058349691,0.32261551447563713,-0.3216929299584501,False,0.0,0.0,0.0,0.0,1.0,0.08750655569485999,-0.03535649734516899
2007-01-01..2012-12-31,2013-01-01..2014-12-31,0.20577802296792558,1.7397170484619684,-0.07348396112643518,False,0.06259936987761962,0.41020880751559713,0.349902486561981,0.15532549279416197,0.021963843250640425,0.22524043363317192,-0.019462410665246344
2009-01-01..2014-12-31,2015-01-01..2016-12-31,0.10562302335675011,0.5771178470748269,-0.30836830146988914,False,0.0,0.16285216540205658,0.0,0.0,0.8371478345979435,0.06480182850684768,0.04082119484990243
2011-01-01..2016-12-31,2017-01-01..2018-12-31,0.016273525297736624,0.0922658346999618,-0.21167505878956372,False,0.019314975923720362,0.13781501474627153,0.13471078559040703,0.15777689258683128,0.5503823311527698,0.07802574851571453,-0.06175222321797791
2013-01-01..2018-12-31,2019-01-01..2020-12-31,0.08954333725934904,0.39582934110984613,-0.417891571127634,False,0.045800501924738085,0.0,0.294331848379942,0.20661357570611,0.4532540739892099,0.24556844764708474,-0.1560251103877357
2015-01-01..2020-12-31,2021-01-01..2022-12-31,-0.0022903499240001235,0.09446583091231882,-0.3120779148420175,False,0.0,0.0,0.12566867660459832,0.0,0.8743313233954018,0.02636601475250755,-0.028656364676507673
2017-01-01..2022-12-31,2023-01-01..2024-12-31,0.003263419548643398,-0.37307060731908837,-0.12643027567047427,False,0.0,0.0,0.3583203835585241,0.21722626172808232,0.42445335471339374,0.25643228516981886,-0.25316886562117547
2019-01-01..2024-12-31,2025-01-01..2026-06-30,0.07805939708389098,0.24535536225530571,-0.22246435552535593,False,0.03128694575172153,0.032525491666160006,0.0,0.0,0.9361875625821183,0.1857601455528286,-0.10770074846893762
