,walk-forward
CAGR,0.0435378000517348
Ann. volatility,0.23146202265408206
Sharpe,0.2238593451775375
Sortino,0.3144865905721586
Max drawdown,-0.7028364915694836
Calmar,0.061945844551286475
Win rate (daily),0.527391975308642
Win rate (monthly),0.6032388663967612
Skew,-0.033784871488642766
Excess kurtosis,14.87074087242264
VaR 95% (daily),-0.02074437739434595
CVaR 95% (daily),-0.035497219147573394
Best day,0.16642362662179871
Worst day,-0.12194047892624402
Drawdown length (days),552.0
Recovery length (days),2071.0
t-stat (Newey-West),1.5394408506669803
PSR (vs SR=0),0.9174380749989863
Years,21.4484126984127
Excess CAGR vs bmk,-0.0648236189424567
Information ratio,-0.42056854254797155
Tracking error,0.12228714921626177
Up capture,0.9579905988077974
Down capture,1.0090362485151685
